rounds,walkers,tourney,date,DOW
167.0,54.0,24.0,2013-05-18,5
140.0,37.0,0.0,2013-05-19,6
0.0,0.0,0.0,2013-05-20,0
96.0,21.0,0.0,2013-05-21,1
75.0,17.0,0.0,2013-05-22,2
94.0,39.0,45.0,2013-05-23,3
165.0,28.0,0.0,2013-05-24,4
124.0,25.0,0.0,2013-05-25,5
155.0,28.0,0.0,2013-05-26,6
153.0,37.0,0.0,2013-05-27,0
0.0,0.0,0.0,2013-05-28,1
109.0,21.0,0.0,2013-05-29,2
72.0,2.0,60.0,2013-05-30,3
131.0,29.0,0.0,2013-05-31,4
115.0,21.0,12.0,2013-06-01,5
152.0,34.0,0.0,2013-06-02,6
80.0,0.0,80.0,2013-06-03,0
76.0,27.0,0.0,2013-06-04,1
103.0,25.0,0.0,2013-06-05,2
104.0,25.0,0.0,2013-06-06,3
117.0,12.0,0.0,2013-06-07,4
243.0,0.0,240.0,2013-06-08,5
161.0,6.0,120.0,2013-06-09,6
124.0,0.0,124.0,2013-06-10,0
60.0,14.0,0.0,2013-06-11,1
115.0,30.0,64.0,2013-06-12,2
99.0,8.0,80.0,2013-06-13,3
141.0,10.0,80.0,2013-06-14,4
161.0,59.0,24.0,2013-06-15,5
154.0,38.0,0.0,2013-06-16,6
144.0,0.0,144.0,2013-06-17,0
122.0,9.0,107.0,2013-06-18,1
92.0,19.0,0.0,2013-06-19,2
114.0,11.0,78.0,2013-06-20,3
141.0,9.0,78.0,2013-06-21,4
138.0,27.0,39.0,2013-06-22,5
132.0,30.0,0.0,2013-06-23,6
96.0,0.0,96.0,2013-06-24,0
41.0,9.0,0.0,2013-06-25,1
101.0,25.0,0.0,2013-06-26,2
105.0,9.0,42.0,2013-06-27,3
125.0,17.0,0.0,2013-06-28,4
119.0,7.0,78.0,2013-06-29,5
55.0,3.0,0.0,2013-06-30,6
130.0,0.0,130.0,2013-07-01,0
68.0,20.0,0.0,2013-07-02,1
75.0,8.0,0.0,2013-07-03,2
100.0,13.0,0.0,2013-07-04,3
134.0,33.0,0.0,2013-07-05,4
120.0,28.0,0.0,2013-07-06,5
118.0,20.0,0.0,2013-07-07,6
152.0,0.0,152.0,2013-07-08,0
92.0,28.0,0.0,2013-07-09,1
84.0,23.0,0.0,2013-07-10,2
116.0,8.0,64.0,2013-07-11,3
126.0,37.0,0.0,2013-07-12,4
152.0,27.0,44.0,2013-07-13,5
144.0,22.0,0.0,2013-07-14,6
83.0,0.0,84.0,2013-07-15,0
97.0,21.0,0.0,2013-07-16,1
77.0,18.0,0.0,2013-07-17,2
67.0,9.0,29.0,2013-07-18,3
115.0,25.0,0.0,2013-07-19,4
112.0,28.0,0.0,2013-07-20,5
128.0,16.0,48.0,2013-07-21,6
112.0,0.0,112.0,2013-07-22,0
107.0,16.0,79.0,2013-07-23,1
92.0,11.0,0.0,2013-07-24,2
105.0,16.0,0.0,2013-07-25,3
160.0,35.0,0.0,2013-07-26,4
113.0,30.0,0.0,2013-07-27,5
128.0,16.0,0.0,2013-07-28,6
128.0,0.0,128.0,2013-07-29,0
91.0,26.0,0.0,2013-07-30,1
80.0,16.0,0.0,2013-07-31,2
77.0,9.0,34.0,2013-08-01,3
148.0,37.0,0.0,2013-08-02,4
97.0,18.0,44.0,2013-08-03,5
133.0,18.0,24.0,2013-08-04,6
0.0,0.0,0.0,2013-08-05,0
90.0,29.0,0.0,2013-08-06,1
97.0,29.0,0.0,2013-08-07,2
96.0,21.0,0.0,2013-08-08,3
135.0,43.0,0.0,2013-08-09,4
137.0,32.0,24.0,2013-08-10,5
159.0,39.0,0.0,2013-08-11,6
109.0,0.0,109.0,2013-08-12,0
137.0,34.0,0.0,2013-08-13,1
139.0,15.0,75.0,2013-08-14,2
82.0,7.0,50.0,2013-08-15,3
145.0,25.0,0.0,2013-08-16,4
139.0,71.0,36.0,2013-08-17,5
144.0,29.0,0.0,2013-08-18,6
136.0,0.0,136.0,2013-08-19,0
87.0,28.0,0.0,2013-08-20,1
76.0,19.0,0.0,2013-08-21,2
82.0,7.0,38.0,2013-08-22,3
136.0,27.0,0.0,2013-08-23,4
149.0,30.0,46.0,2013-08-24,5
170.0,31.0,0.0,2013-08-25,6
0.0,0.0,0.0,2013-08-26,0
117.0,48.0,16.0,2013-08-27,1
110.0,33.0,0.0,2013-08-28,2
214.0,0.0,214.0,2013-08-29,3
216.0,0.0,216.0,2013-08-30,4
216.0,0.0,216.0,2013-08-31,5
216.0,0.0,216.0,2013-09-01,6
145.0,29.0,0.0,2013-09-02,0
0.0,0.0,0.0,2013-09-03,1
76.0,13.0,0.0,2013-09-04,2
67.0,8.0,38.0,2013-09-05,3
135.0,22.0,0.0,2013-09-06,4
104.0,27.0,0.0,2013-09-07,5
94.0,19.0,0.0,2013-09-08,6
129.0,0.0,129.0,2013-09-09,0
123.0,12.0,90.0,2013-09-10,1
104.0,29.0,9.0,2013-09-11,2
58.0,5.0,27.0,2013-09-12,3
121.0,24.0,32.0,2013-09-13,4
116.0,36.0,0.0,2013-09-14,5
111.0,24.0,0.0,2013-09-15,6
101.0,0.0,101.0,2013-09-16,0
88.0,46.0,24.0,2013-09-17,1
80.0,8.0,0.0,2013-09-18,2
70.0,14.0,28.0,2013-09-19,3
142.0,29.0,0.0,2013-09-20,4
75.0,24.0,0.0,2013-09-21,5
104.0,25.0,0.0,2013-09-22,6
